Wavelength,Flux
2,191.1
4,15925
6,178360
8,1146600
10,25480000
40,115620000
50,204180000
60,233810000
70,213380000
80,249600000
90,205920000
100,130480000
110,89500000
120,30480000
128,779780000
153,4050000000
176,19906000000
205,2912000000
231,14257000000
270,936000000
280,3203200000
300,17169600000
320,2470800000
340,1323000000
360,3707300000
370,500910000
400,656880000
430,500910000
460,504560000
480,980640000
500,1434640000
520,484000000
540,724000000
560,103400000
580,2040000000
600,988080000
620,2340000000
630,224250000
680,688170000
710,345030000
740,996480000
770,3136000000
800,1977150000
830,5022500000
860,5323500000
890,6513000000
911,183105000
920,556920000
930,1389920000
940,1300860000
950,227760000
960,202800000
970,12402000000
980,1769040000
995,292500000
1007,243360000
1017,8424000000
1027,4206600000
1035,3129300000
1045,288880000
1057,312800000
1070,241040000
1080,1326640000
1090,241040000
1100,250210000
1110,250210000
1120,1186110000
1130,250210000
1140,250210000
1150,174765000
1157,185024000
1163,243080000
1170,627760000
1176,264320000
1183,312480000
1190,458640000
1198,478800000
1205,1864800000
1212,7.61E+11
1220,9248400000
1227,3427200000
1235,4057200000
1242,3326400000
1250,2594400000
1258,5722400000
1266,1950400000
1274,2918100000
1282,2172600000
1290,2097600000
1299,13413600000
1307,4048000000
1316,3275400000
1324,4552600000
1333,25544000000
1342,4099400000
1351,6365400000
1360,5294200000
1370,5480000000
1379,5921000000
1389,14516000000
1408,16564000000
1428,20800000000
1449,28028000000
1470,35882000000
1492,40964000000
1515,43500000000
1538,54000000000
1562,69825000000
1587,90240000000
1613,75762000000
1639,1.49E+11
1667,2.20E+11
1695,2.83E+11
1724,1.76E+11
1739,2.23E+11
1754,2.71E+11
1770,3.04E+11
1786,3.34E+11
1802,3.64E+11
1818,4.42E+11
1835,5.14E+11
1852,5.74E+11
1869,6.47E+11
1887,7.18E+11
1905,7.91E+11
1923,1.07E+12
1942,1.38E+12
1961,1.10E+12
1980,1.31E+12
2000,1.44E+12
2020,1.80E+12
2041,2.08E+12
2062,2.45E+12
2083,5.09E+12
2105,7.12E+12
2128,9.23E+12
2150,8.42E+12
2174,1.20E+13
2198,1.22E+13
2222,1.77E+13
2247,1.60E+13
2273,1.96E+13
2299,2.40E+13
2326,2.25E+13
2353,2.21E+13
2381,2.32E+13
2410,2.50E+13
2439,2.73E+13
2469,2.88E+13
2500,3.02E+13
2532,3.97E+13
2564,7.13E+13
2597,4.37E+13
2632,1.12E+14
2667,1.25E+14
2703,1.16E+14
2740,1.19E+14
2778,1.38E+14
2817,1.70E+14
2857,2.46E+14
2899,3.90E+14
2941,3.99E+14
2985,3.86E+14
3030,5.08E+14
3077,5.92E+14
3125,6.05E+14
3175,6.94E+14
3225,8.12E+14
3275,9.71E+14
3325,8.97E+14
3375,9.44E+14
3425,1.01E+15
3475,1.03E+15
3525,1.03E+15
3575,1.04E+15
3625,1.18E+15
3675,1.23E+15
3725,1.24E+15
3775,1.17E+15
3825,1.11E+15
3875,1.09E+15
3925,1.19E+15
3975,1.54E+15
4025,1.90E+15
4075,1.99E+15
4125,1.99E+15
4175,2.02E+15
4225,2.01E+15
4275,1.94E+15
